posicion;nombre;federacion;elo
1;Magnus Carlsen; Noruega;2830
2;Fabiano Caruana;Unidos Estados Unidos;2804
3;Hikaru Nakamura;Unidos Estados Unidos;2789,8
4;Ding Liren;China;2762
5;Anish Giri;Países Bajos;2762
6;Alireza Firouzja;Francia;2760
7;Ian Nepomniachtchi;Rusia;2758
8;Wesley So;Estados Unidos;2757
9;Yi Wei;China;2755
10;Viswanathan Anand;India;2751
11;Nodirbek Abdusattorov;Uzbekistán;2750
12;Sergey Karjakin;Rusia;2750
13;Leinier Dominguez Perez;Estados Unidos;2749
14;Erigaisi Arjun;India;2748
15;Gukesh D;India;2747
16;Rameshbabu Praggnanandhaa;India;2747
17;Santosh Gujrathi Vidit;India;2747
18;Vincent Keymer;Alemania;2738
19;Shakhriyar Mamedyarov;Azerbaiyán;2734
20;Alexander Grischuk;Rusia;2732
